CATALOG NUMBER,IDENTIFICATION,COUNTRY,STATE,COUNTY,PRECISE LOCALITY,COLLECTOR(S),COLLECTING DATE,SEX,PREPS
MS-9021,Sciurus arizonensis huachuca,USA,Arizona,Cochise Co.,Huachuca Mountains,W. W. Price,20 Feb 1894,Female,"Skull
Skin "
MS-9505,Sciurus arizonensis huachuca,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,19 Jun 1894,Female,"Skull
Skin "
MS-9506,Sciurus arizonensis huachuca,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,03 Jul 1894,Female,"Skull
Skin "
MO-6788,Thomomys umbrinus intermedius,USA,Arizona,Cochise Co.,Huachuca Mountains,William W. Price,20 Feb 1894,Female,"Skull
Skin "
MS-8461,Thomomys umbrinus intermedius,USA,Arizona,Cochise Co.,Huachuca Mountains,W. W. Price,20 Feb 1894,Female,"Skin
Skull "
MO-6981,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,W. J. Berner,17-Feb-94,Male,"Skull
Skin "
MO-6982,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,W. J. Berner,17-Feb-94,Female,"Skull
Skin "
MO-6983,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,W. J. Berner,17-Feb-94,Male,"Skull
Skin "
MO-6984,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,W. J. Berner,18-Feb-94,Female,"Skull
Skin "
MO-6985,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,"William W. Price
B. C. Condit",5-Feb-94,Male,"Skull
Skin "
MO-6986,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,"William W. Price
B. C. Condit",28-Jan-94,Female,"Skull
Skin "
MO-6987,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,"William W. Price
B. C. Condit",29-Jan-94,Male,"Skull
Skin "
MO-6988,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,"William W. Price
B. C. Condit",29-Jan-94,Female,"Skull
Skin "
MO-6989,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,"William W. Price
B. C. Condit",31-Jan-94,Female,"Skull
Skin "
MO-6990,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,William W. Price,7-Feb-94,Male,"Skull
Skin "
MO-6991,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,William W. Price,20-Feb-94,Male,"Skull
Skin "
MO-7104,Neotoma albigula albigula,USA,Arizona,Cochise Co.,Huachuca Mountains,"William W. Price
B. C. Condit",28-Jan-94,Male,"Skull
Skin "
MO-7105,Neotoma mexicana,USA,Arizona,Cochise Co.,Huachuca Mountains,"William W. Price
B. C. Condit",28-Jan-94,Sex Unknown,"Skull
Skin "
MO-7808,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,"William W. Price
Loye Miller",21-May-94,Female,"Skull
Skin "
MO-7809,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,16-Jun-94,Female,"Skull
Skin "
MO-7810,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,16-Jun-94,Female,"Skull
Skin "
MO-7811,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,21-Jun-94,Male,"Skull
Skin "
MO-7812,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,22-Jun-94,Female,"Skull
Skin "
MO-7813,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,22-Jun-94,Male,"Skull
Skin "
MO-7814,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,26-Jun-94,Male,"Skull
Skin "
MO-7815,Peromyscus boylii rowleyi (Allen),USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,30-Jun-94,Male,"Skull
Skin "
MO-7816,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Huachuca Mountains,"Loye Miller
William W. Price",23-May-94,Male,"Skull
Skin "
MO-7817,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,7-Jun-94,Male,"Skull
Skin "
MO-7818,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,10-Jun-94,Female,"Skull
Skin "
MO-7819,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,19-Jun-94,Female,"Skull
Skin "
MO-7820,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,20-Jun-94,Female,"Skull
Skin "
MS-8660,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,W. J. Berner,17-Feb-94,Male,"Skin
Skull "
MS-8661,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,W. J. Berner,17-Feb-94,Female,"Skin
Skull "
MS-8662,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,W. J. Berner,17-Feb-94,Male,"Skin
Skull "
MS-8663,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,W. J. Berner,18-Feb-94,Female,"Skull
Skin "
MS-8664,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,"Price
Condit",5-Feb-94,Male,"Skull
Skin "
MS-8665,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,"Price
Condit",28-Jan-94,Female,"Skin
Skull "
MS-8666,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,"Price
Condit",29-Jan-94,Male,"Skin
Skull "
MS-8667,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,"Price
Condit",29-Jan-94,Female,"Skin
Skull "
MS-8668,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,"Price
Condit",31-Jan-94,Male,"Skin
Skull "
MS-8669,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,"Price
Condit",7-Feb-94,Male,"Skin
Skull "
MS-8670,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,W. W. Price,20-Feb-94,Male,"Skull
Skin "
MS-8671,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,"William W. Price
Loye Miller",21-May-94,Female,"Skin
Skull "
MS-8672,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,16-Jun-94,Female,"Skin
Skull "
MS-8673,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,16-Jun-94,Female,"Skull
Skin "
MS-8674,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,21-Jun-94,Male,"Skull
Skin "
MS-8675,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,22-Jun-94,Female,"Skin
Skull "
MS-8676,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,22-Jun-94,Male,"Skull
Skin "
MS-8677,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,26-Jun-94,Male,"Skin
Skull "
MS-8678,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,30-Jun-94,Male,"Skin
Skull "
MS-8796,Neotoma albigula albigula,USA,Arizona,Cochise Co.,Huachuca Mountains,"Price
Condit",28-Jan-94,Male,"Skull
Skin "
MS-8797,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Huachuca Mountains,"Price
Condit",28-Jan-94,Sex Unknown,"Skin
Skull "
MS-8804,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Huachuca Mountains,"William W. Price
Loye Miller",23-May-94,Male,"Skin
Skull "
MS-8805,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,7-Jun-94,Male,"Skin
Skull "
MS-8806,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,7-Jun-94,Female,"Skin
Skull "
MS-8807,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,19-Jun-94,Female,"Skull
Skin "
MS-8808,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,20-Jun-94,Female,"Skull
Skin "
MS-8809,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,26-Jun-94,Female,Skin
MS-8810,Neotoma mexicana mexicana,USA,Arizona,Cochise Co.,Huachuca Mountains,"William W. Price
Loye Miller",21-May-94,Male,Skin
MO-7358,"Lasiurus intermedius intermedius Allen, 1862",USA,Arizona,Cochise Co.,Huachuca Mountains,Loye Miller,15-Jun-94,Sex Unknown,"Skull
Skeleton "
M-173867,Erethizon dorsatum cousi,USA,Arizona,Cochise Co.,"Keating Canyon, Buckaloo Cave.",M. Martin,24-Jun-56,Female,Skull
M-238355,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Male,Fluid
M-238356,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Male,Fluid
M-238357,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238358,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238359,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238360,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238361,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238362,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238363,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238364,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238365,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238366,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238367,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238368,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238369,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238370,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238371,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238372,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238373,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238374,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238375,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238376,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238377,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238382,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238383,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238384,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238385,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238386,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238387,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238388,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238389,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238390,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238391,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238392,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238393,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238394,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238395,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238396,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238397,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238398,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238399,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238400,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238401,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Sex Unknown,Fluid
M-238402,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",,Male,Fluid
M-238403,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",,Female,Fluid
M-238404,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",,Sex Unknown,Fluid
M-238405,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",,Male,Fluid
M-238406,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",,Female,Fluid
M-238407,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",,Female,Fluid
M-238351,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Female,"Skull
Skin
Skeleton "
M-238352,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Male,"Skin
Skeleton
Skull "
M-238353,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",,Female,"Skin
Skeleton
Skull "
M-238354,Peromyscus eremicus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Female,"Skull
Skeleton
Skin "
M-238378,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Female,"Skull
Skeleton
Skin "
M-238379,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Male,"Skull
Skin
Skeleton "
M-238380,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Female,"Skull
Skin
Skeleton "
M-238381,Peromyscus maniculatus,USA,Arizona,Cochise Co.,"Near Portal, Southwestern Research Station","Lawson
J. K. Small",22-May-74,Male,"Skeleton
Skin
Skull "
M-207648,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"North  fork of Cave Creek, Southwestern Research Station",L. LaPre,1-Jul-64,Female,"Skeleton
Skull "
M-207649,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"North  fork of Cave Creek, Southwestern Research Station",Sydney Anderson,5-Jul-64,Female,"Skin
Skull
Skeleton "
M-207650,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"North  fork of Cave Creek, Southwestern Research Station",Sydney Anderson,5-Jul-64,Female,"Skeleton
Skull
Skin "
M-207651,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"North  fork of Cave Creek, Southwestern Research Station",Sydney Anderson,5-Jul-64,Female,"Skeleton
Skull
Skin "
M-207652,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"North  fork of Cave Creek, Southwestern Research Station",Sydney Anderson,5-Jul-64,Male,"Skeleton
Skull "
M-207653,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,"North  fork of Cave Creek, Southwestern Research Station",Sydney Anderson,5-Jul-64,Female,"Skull
Skeleton "
M-207689,Peromyscus leucopus,USA,Arizona,Cochise Co.,"North  fork of Cave Creek, Southwestern Research Station",Sydney Anderson,29-Jun-64,Female,"Skin
Skull "
M-207612,Pipistrellus hesperus hesperus,USA,Arizona,Cochise Co.,"North  fork of Cave Creek, Southwestern Research Station",Sydney Anderson,3-Jul-64,Male,"Skull
Skeleton
Skin "
M-207613,Pipistrellus hesperus hesperus,USA,Arizona,Cochise Co.,"North  fork of Cave Creek, Southwestern Research Station",Sydney Anderson,3-Jul-64,Male,"Skull
Skin
Skeleton "
M-207614,Pipistrellus hesperus hesperus,USA,Arizona,Cochise Co.,"North  fork of Cave Creek, Southwestern Research Station",Sydney Anderson,3-Jul-64,Male,"Skull
Skin
Skeleton "
M-213146,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,27-Apr-67,Female,Skin
M-213147,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,27-Apr-67,Male,Skin
M-213148,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,27-Apr-67,Female,Skin
M-213149,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,27-Apr-67,Male,Skin
M-213150,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,2-May-67,Male,Skin
M-213151,Tamias dorsalis dorsalis,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,3-May-67,Male,Skin
M-213154,Reithrodontomys megalotis megalotis,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,4-May-67,Male,Skin
M-213155,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,28-Apr-67,Sex Unknown,Skin
M-213156,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,29-Apr-67,Female,Skin
M-213157,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,29-Apr-67,Male,Skin
M-213158,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,27-Apr-67,Male,Skin
M-213159,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,1-May-67,Male,Skin
M-213160,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,1-May-67,Male,Skin
M-213161,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,2-May-67,Female,Skin
M-213162,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,2-May-67,Male,Skin
M-213163,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,3-May-67,Male,Skin
M-213164,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,3-May-67,Female,Skin
M-213165,Peromyscus boylii rowleyi,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,4-May-67,Male,Skin
M-213166,Peromyscus eremicus anthonyi,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,28-Apr-67,Sex Unknown,Skin
M-213172,Sigmodon ochrognathus,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,1-May-67,Female,Skin
M-213173,Sigmodon ochrognathus,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,1-May-67,Female,Skin
M-213174,Sigmodon ochrognathus,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,1-May-67,Male,Skin
M-213175,Sigmodon ochrognathus,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,2-May-67,Female,Skin
M-213176,Sigmodon ochrognathus,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,3-May-67,Male,Skin
M-213177,Sigmodon ochrognathus,USA,Arizona,Cochise Co.,North fork of Cave Creek,Ethel Tobach,3-May-67,Female,Skin
M-207616,Spermophilus variegatus grammurus,USA,Arizona,Cochise Co.,"North fork of Cave Creek, Southwestern Research Station",Sydney Anderson,4-Jul-64,Female,Skin
M-207615,Antrozous pallidus pallidus,USA,Arizona,Cochise Co.,"North fork of Cave Creek, Southwestern Research Station",Sydney Anderson,5-Jul-64,Male,"Skin
Skull
Skeleton "
MO-6685,Chaetodipus penicillatus pricei,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,31-May-94,Male,"Skull
Skin "
MO-6736,Reithrodontomys fulvescens fulvescens,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,1-Jun-94,Male,"Skull
Skin "
MO-6737,Reithrodontomys fulvescens fulvescens,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,31-May-94,Male,"Skull
Skin "
MO-7107,Neotoma mexicana,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,30-May-94,Female,"Skull
Skin "
MO-7117,Peromyscus eremicus anthonyi,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,31-May-94,Female,"Skull
Skin "
MO-7148,Perognathus penicillatus pricei,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,30-May-94,Male,"Skin
Skull "
MO-7149,Perognathus penicillatus pricei,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,30-May-94,Female,"Skull
Skin "
MO-7200,Perognathus penicillatus pricei,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,30-May-94,Male,"Skull
Skin "
MO-7201,Perognathus penicillatus pricei,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,30-May-94,Female,"Skull
Skin "
MO-7202,Perognathus penicillatus pricei,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,1-Jun-94,Male,"Skull
Skin "
MO-7203,Perognathus penicillatus pricei,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,1-Jun-94,Male,"Skull
Skin "
MO-7204,Perognathus penicillatus pricei,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,2-Jun-94,Male,"Skull
Skin "
MS-8359,Perognathus penicillatus pricei,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,31-May-94,Male,"Skull
Skin "
MS-8411,Reithrodontomys fulvescens fulvescens,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,1-Jun-94,Male,"Skull
Skin "
MS-8412,Reithrodontomys fulvescens fulvescens,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,31-May-94,Male,"Skin
Skull "
MS-8478,Dipodomys ordii chapmani,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,14-May-94,Female,"Skull
Skin "
MS-8479,Dipodomys ordii chapmani,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,14-May-94,Female,"Skin
Skull "
MS-8799,Neotoma mexicana mexicana,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,30-May-94,Female,"Skull
Skin "
MS-8816,Peromyscus eremicus anthonyi,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,31-May-94,Female,Skin
MS-8817,Peromyscus eremicus anthonyi,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,31-May-94,Female,"Skull
Skin "
MS-8852,Perognathus penicillatus pricei,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,30-May-94,Male,"Skull
Skin "
MS-8853,Perognathus penicillatus pricei,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,30-May-94,Female,"Skull
Skin "
MS-8904,Perognathus penicillatus pricei,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,30-May-94,Male,"Skin
Skull "
MS-8905,Perognathus penicillatus pricei,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,30-May-94,Female,"Skin
Skull "
MS-8906,Perognathus penicillatus pricei,Mexico,Sonora,Moctezuma,Oposura,B. C. Condit,1-Jun-94,Male,"Skin
Skull "
